"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat"
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","889099","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","83","2.0.0","893487","6732593eff011c52764cee0f","4","12","4377","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","5","class_response","0","test","39","Pegmatite","Pegmatite","16","true","6","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","84","2.0.0","893993","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","39","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","85","2.0.0","908708","6732593eff011c52764cee0f","4","12","14706","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","2","class_response","0","test","40","Diorite","Pumice","09","false","3","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","86","2.0.0","909228","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","40","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","87","2.0.0","911258","6732593eff011c52764cee0f","4","12","2018","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","2","class_response","0","test","41","Diorite","Diorite","16","true","3","3","","","","","",""
"","","","","","","","","","","","html-keyboard-response","88","2.0.0","911774","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","41","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","89","2.0.0","919850","6732593eff011c52764cee0f","4","12","8069","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","0","test","42","Pegmatite","Pegmatite","15","true","6","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","90","2.0.0","920366","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","42","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","91","2.0.0","928108","6732593eff011c52764cee0f","4","12","7731","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","2","class_response","0","test","43","Diorite","Andesite","03","false","3","1","","","","","",""
"","","","","","","","","","","","html-keyboard-response","92","2.0.0","928627","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","43","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","93","2.0.0","930537","6732593eff011c52764cee0f","4","12","1899","","","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","44","Diorite","Peridotite","02","false","3","7","","","","","",""
"","","","","","","","","","","","html-keyboard-response","94","2.0.0","931043","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","44","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","95","2.0.0","935890","6732593eff011c52764cee0f","4","12","4835","","","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","4","class_response","0","test","45","Obsidian","Obsidian","14","true","5","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","96","2.0.0","936404","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","45","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","97","2.0.0","944204","6732593eff011c52764cee0f","4","12","7790","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","46","Basalt","Basalt","01","true","2","2","","","","","",""
