"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Andesite","time_obs","time_resp"
"","","","","","","","","","","","html-button-response","71","2.0.0","134558","66d7b253c64eb18aa549d79c","4","24","1220","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","33","Obsidian","Obsidian","02","true","5","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","135063","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","136347","66d7b253c64eb18aa549d79c","4","24","1283","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","1","class_response","0","test","34","Basalt","Gabbro","03","false","2","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","136848","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","137775","66d7b253c64eb18aa549d79c","4","24","927","","","","","","","","","<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>","2","class_response","0","test","35","Diorite","Peridotite","13","false","3","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","138288","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","139307","66d7b253c64eb18aa549d79c","4","24","1018","","","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","0","class_response","0","test","36","Andesite","Pegmatite","07","false","1","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","139808","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","141824","66d7b253c64eb18aa549d79c","4","24","2015","","","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","6","class_response","0","test","37","Peridotite","Andesite","06","false","7","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","142330","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","","","","","","","","","","","",""
