"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num"
"","","","","","","","","","","","html-button-response","91","2.0.0","131259","66fc0d1538357d2081dda6b9","3","38","1156","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","43","Pegmatite","Basalt","11","false","6","2"
"","","","","","","","","","","","html-keyboard-response","92","2.0.0","131761","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","43","","","","","",""
"","","","","","","","","","","","html-button-response","93","2.0.0","132466","66fc0d1538357d2081dda6b9","3","38","704","","","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","6","class_response","0","test","44","Peridotite","Pegmatite","10","false","7","6"
"","","","","","","","","","","","html-keyboard-response","94","2.0.0","132970","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","44","","","","","",""
"","","","","","","","","","","","html-button-response","95","2.0.0","133574","66fc0d1538357d2081dda6b9","3","38","602","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","2","class_response","0","test","45","Diorite","Gabbro","01","false","3","4"
"","","","","","","","","","","","html-keyboard-response","96","2.0.0","134076","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","45","","","","","",""
"","","","","","","","","","","","html-button-response","97","2.0.0","134989","66fc0d1538357d2081dda6b9","3","38","911","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","46","Basalt","Gabbro","09","false","2","4"
"","","","","","","","","","","","html-keyboard-response","98","2.0.0","135495","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","46","","","","","",""
"","","","","","","","","","","","html-button-response","99","2.0.0","137245","66fc0d1538357d2081dda6b9","3","38","1748","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","47","Basalt","Basalt","08","true","2","2"
"","","","","","","","","","","","html-keyboard-response","100","2.0.0","137757","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","47","","","","","",""
