"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Diorite","time_resp","text_Gabbro","time_fb1","time_fb2","text_Obsidian","text_Basalt","text_Peridotite"
"26589","","instructions","80","2.0.0","172073","test","3","","","","","","[{""page_index"":0,""viewing_time"":5341},{""page_index"":1,""viewing_time"":6366},{""page_index"":2,""viewing_time"":8856},{""page_index"":3,""viewing_time"":6027}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","81","2.0.0","176927","test","3","","","","","","","","","cat_selection","1","train","14","","","","","","","","6","3","4852.100000023842","Pegmatite","Diorite","[0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0]","[0,0.4509724129781259,0.4712289869576516,0.07779860006422239,0,0,0,0]","","","","","","","","",""
"","","paired-cat-display","82","1.0.0","215204","test","3","","","","","","","","","paired_cat_display","1","train","14","","","","","","","","","","6063.699999928474","","","","","unique striping, many different colors","more of a spotted texture, light background with lots of dark dots","32209.800000071526","","","","","",""
"","","html-button-response","83","2.0.0","218180","test","3","","","","","","","","","cat_selection","1","train","15","","","","","","","","3","6","2974.899999976158","Diorite","Pegmatite","[0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0]","[0,0,0,0.07958231786588635,0.5847184982440292,0.3356991838900844,0,0]","","","","","","","","",""
"","","paired-cat-display","84","1.0.0","241437","test","3","","","","","","","","","paired_cat_display","1","train","15","","","","","","","","","","5966.399999976158","","","","","unique colors and more striping ","light background with dark speckles","17286.299999952316","","","","","",""
"","","html-button-response","85","2.0.0","243333","test","3","","","","","","","","","cat_selection","1","train","16","","","","","","","","4","6","1895","Gabbro","Pegmatite","[0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0]","[0.32945876677371405,0,0,0,0.07845696773930118,0.5920842654869847,0,0]","","","","","","","","",""
"","","paired-cat-display","86","1.0.0","264112","test","3","","","","","","","","","paired_cat_display","1","train","16","","","","","","","","","","6327","","","","","unique colors and more striping","","14448.299999952316","dark (gray or brown) with some speckling","","","","",""
"11068","","instructions","87","2.0.0","275181","test","3","","","","","","[{""page_index"":0,""viewing_time"":2758},{""page_index"":1,""viewing_time"":5583},{""page_index"":2,""viewing_time"":2728}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1471","","html-button-response","88","2.0.0","276654","test","3","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7429","","html-button-response","89","2.0.0","284086","test","3","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","3","class_response","1","test","2","Gabbro","Basalt","14","false","4","2","","","","","","","","","","","","","","","","",""
