participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,SC_cond_filter.thisRepN,SC_cond_filter.thisTrialN,SC_cond_filter.thisN,SC_cond_filter.thisIndex,SC_cond_filter.ran,SC_cond_filter.order
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,13,-0.07421875,-0.0703125,1,0,0,0.8865,Pumice_05,8,05,3,4,0.887,0.317708333,-0.408854167,1,0,0,5.7382,Pumice_rect,8,5.738,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,14,-0.23828125,-0.100260417,1,0,0,0.9326,Pegmatite_12,6,12,3,3,0.933,-0.126302083,-0.39453125,1,0,0,0.8609,Pegmatite_rect,6,0.861,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,15,-0.217447917,0.114583333,1,0,0,1.5564,Andesite_11,1,11,4,3,1.556,-0.083333333,-0.236979167,1,0,0,1.9618,Basalt_rect,2,1.962,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,16,0.268229167,-0.078125,1,0,0,1.2878,Basalt_02,2,02,3,6,1.288,-0.122395833,-0.244791667,1,0,0,1.3502,Basalt_rect,2,1.35,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,1,,,,,,,,4,05,,,,,,,,,,,3,4.558,0,,,,,,0.104166667,-0.239583333,1,0,0,4.5584,Diorite_rect,0,0,0,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,2,,,,,,,,8,08,,,,,,,,,,,8,1.375,1,,,,,,0.328125,-0.403645833,1,0,0,1.3749,Pumice_rect,1,0,1,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,3,,,,,,,,6,06,,,,,,,,,,,8,4.981,0,,,,,,0.380208333,-0.3828125,1,0,0,4.981,Pumice_rect,2,0,2,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,4,,,,,,,,7,14,,,,,,,,,,,1,1.917,0,,,,,,-0.388020833,-0.256510417,1,0,0,1.9173,Andesite_rect,3,0,3,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,5,,,,,,,,3,02,,,,,,,,,,,6,1.045,0,,,,,,-0.076822917,-0.399739583,1,0,0,1.0449,Pegmatite_rect,4,0,4,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,2,6,,,,,,,,7,02,,,,,,,,,,,7,1.377,1,,,,,,0.07421875,-0.393229167,1,0,0,1.3765,Peridotite_rect,5,0,5,0,1,,,,,,,,,,,,,,
