participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,7,,,,,,,,5,05,,,,,,,,,,,5,3.524,1,,,,,,-0.342447917,-0.388020833,1,0,0,3.5236,Obsidian_rect,6,0,6,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,8,,,,,,,,2,08,,,,,,,,,,,1,1.969,0,,,,,,-0.328125,-0.255208333,1,0,0,1.9687,Andesite_rect,7,0,7,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,9,,,,,,,,7,10,,,,,,,,,,,7,4.826,1,,,,,,0.11328125,-0.420572917,1,0,0,4.8262,Peridotite_rect,8,0,8,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,10,,,,,,,,8,04,,,,,,,,,,,4,2.16,0,,,,,,0.361979167,-0.243489583,1,0,0,2.1603,Gabbro_rect,9,0,9,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,11,,,,,,,,4,16,,,,,,,,,,,5,3.24,0,,,,,,-0.321614583,-0.388020833,1,0,0,3.2405,Obsidian_rect,10,0,10,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,12,,,,,,,,8,03,,,,,,,,,,,1,3.568,0,,,,,,-0.322916667,-0.24609375,1,0,0,3.5682,Andesite_rect,11,0,11,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,13,,,,,,,,3,06,,,,,,,,,,,3,2.543,1,,,,,,0.196614583,-0.263020833,1,0,0,2.5425,Diorite_rect,12,0,12,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,14,,,,,,,,2,10,,,,,,,,,,,5,1.843,0,,,,,,-0.45703125,-0.403645833,1,0,0,1.8433,Obsidian_rect,13,0,13,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,15,,,,,,,,3,07,,,,,,,,,,,3,4.484,1,,,,,,0.140625,-0.244791667,1,0,0,4.4841,Diorite_rect,14,0,14,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,16,,,,,,,,5,16,,,,,,,,,,,5,2.335,1,,,,,,-0.411458333,-0.411458333,1,0,0,2.3355,Obsidian_rect,15,0,15,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,1,-0.236979167,0.067708333,1,0,0,4.1219,Gabbro_14,4,14,4,3,4.122,0.3671875,-0.2421875,1,0,0,3.0909,Gabbro_rect,4,3.091,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,2,-0.516927083,0.087239583,1,0,0,3.0814,Basalt_16,2,16,4,1,3.081,0.43359375,-0.229166667,1,0,0,1.6279,Gabbro_rect,4,1.628,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,3,-0.510416667,0.071614583,1,0,0,1.6149,Basalt_16,2,16,4,1,1.615,0.37890625,-0.390625,1,0,0,1.1483,Pumice_rect,8,1.148,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,4,-0.536458333,0.079427083,1,0,0,1.4468,Basalt_16,2,16,4,1,1.447,0.196614583,-0.404947917,1,0,0,1.2697,Peridotite_rect,7,1.27,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
