width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Diorite,text_Andesite,time_obs,time_resp,text_Pumice,text_Gabbro,text_Basalt,time_fb1,time_fb2,text_Peridotite,text_Obsidian,text_Pegmatite
,,,,,,,,,,,html-button-response,49,2.0.0,107039,664521e03117b782ed4fff45,4,24,1065,,,,,,,,,"<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>",4,class_response,0,test,22,Obsidian,Basalt,4,FALSE,5,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,50,2.0.0,107540,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,51,2.0.0,108914,664521e03117b782ed4fff45,4,24,1372,,,,,,,,,"<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>",5,class_response,0,test,23,Pegmatite,Peridotite,12,FALSE,6,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,52,2.0.0,109415,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,53,2.0.0,110053,664521e03117b782ed4fff45,4,24,637,,,,,,,,,"<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>",1,class_response,0,test,24,Basalt,Diorite,10,FALSE,2,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,54,2.0.0,110555,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,55,2.0.0,111017,664521e03117b782ed4fff45,4,24,461,,,,,,,,,"<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>",0,class_response,0,test,25,Andesite,Gabbro,10,FALSE,1,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,56,2.0.0,111518,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,57,2.0.0,112495,664521e03117b782ed4fff45,4,24,976,,,,,,,,,"<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>",5,class_response,0,test,26,Pegmatite,Andesite,4,FALSE,6,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,58,2.0.0,112996,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,59,2.0.0,113843,664521e03117b782ed4fff45,4,24,845,,,,,,,,,"<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>",6,class_response,0,test,27,Peridotite,Obsidian,4,FALSE,7,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,60,2.0.0,114344,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,27,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,61,2.0.0,115231,664521e03117b782ed4fff45,4,24,885,,,,,,,,,"<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>",2,class_response,0,test,28,Diorite,Andesite,10,FALSE,3,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,62,2.0.0,115732,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,28,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,63,2.0.0,116408,664521e03117b782ed4fff45,4,24,674,,,,,,,,,"<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>",6,class_response,0,test,29,Peridotite,Peridotite,7,TRUE,7,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,64,2.0.0,116910,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,65,2.0.0,117407,664521e03117b782ed4fff45,4,24,497,,,,,,,,,"<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>",1,class_response,0,test,30,Basalt,Diorite,12,FALSE,2,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,66,2.0.0,117909,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,67,2.0.0,118324,664521e03117b782ed4fff45,4,24,413,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>",5,class_response,0,test,31,Pegmatite,Pegmatite,10,TRUE,6,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,68,2.0.0,118825,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,69,2.0.0,119583,664521e03117b782ed4fff45,4,24,757,,,,,,,,,"<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>",1,class_response,0,test,32,Basalt,Diorite,16,FALSE,2,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,70,2.0.0,120084,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,32,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,71,2.0.0,120557,664521e03117b782ed4fff45,4,24,472,,,,,,,,,"<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>",4,class_response,0,test,33,Obsidian,Gabbro,1,FALSE,5,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,72,2.0.0,121058,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,73,2.0.0,121896,664521e03117b782ed4fff45,4,24,837,,,,,,,,,"<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>",3,class_response,0,test,34,Gabbro,Basalt,14,FALSE,4,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,74,2.0.0,122398,664521e03117b782ed4fff45,4,24,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,34,,,,,,,,,,,,,,,,,,,,,,,,
